Date,Product Category,Product Name,Region,Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%),Sales Revenue (USD)
1999-02-22,Gaming,RTX 3080,Europe,783.0,Gamers,Individual,2.5,65968.03,15,Medium,0.33,11.0,0.18,78.0,2013-09-17,Google TPU,64.36,313760301.3
2011-06-27,OEM,RTX 4090,Africa,2415.0,Cloud Providers,Business,1.3,117882.6,17,Low,2.94,52.0,0.06,62.0,2008-02-03,AMD Radeon RX 6800,55.7,292341151.18
2013-12-02,Gaming,Tesla V100,South America,1798.0,Cloud Providers,Individual,4.1,32881.35,2,High,2.08,52.0,0.24,80.0,2008-05-27,AMD Radeon RX 7900,56.76,302746513.63
2021-06-14,AI,RTX 3080,Africa,3653.0,AI Researchers,Individual,4.2,148717.1,15,Medium,3.6,84.0,0.06,59.0,2022-10-27,AMD Radeon RX 7900,57.59,45493027203.5
2022-10-25,OEM,RTX 4090,South America,2885.0,Cloud Providers,Business,3.0,173272.75,18,Medium,2.42,74.0,0.27,83.0,1996-08-21,AMD Radeon RX 7900,63.62,233172531200.67
1994-10-03,AI,Quadro P2200,Africa,3982.0,Cloud Providers,Individual,2.3,21315.28,22,Low,3.53,89.0,0.19,86.0,2003-06-29,Google TPU,62.69,1317787276.24
2004-02-01,AI,Tesla V100,Africa,4104.0,AI Researchers,Individual,4.5,176175.51,25,Medium,0.27,15.0,0.17,52.0,2022-11-13,Google TPU,59.25,306597585.3
2024-04-09,AI,Quadro P2200,APAC,4810.0,Educational Institutions,Individual,2.0,35653.87,15,High,4.87,15.0,0.15,56.0,2017-03-13,Intel Xeon,34.77,1006454201810.92
2004-12-18,AI,RTX 4090,North America,2805.0,AI Researchers,Business,4.9,33747.76,8,High,2.01,85.0,0.25,79.0,2016-03-23,AMD Radeon RX 7900,69.06,298929259.87
2014-07-22,AI,Tesla T4,Africa,4484.0,Educational Institutions,Business,3.5,31355.74,21,Low,4.3,46.0,0.23,65.0,1997-01-26,AMD Radeon RX 7900,34.68,309237476.29
2002-02-03,Data Center,RTX 3080,North America,4462.0,Gamers,Business,3.6,93586.68,12,Low,1.28,89.0,0.17,61.0,2017-11-14,Intel Xeon,32.26,313993177.7
2000-05-31,OEM,Tesla T4,Africa,847.0,AI Researchers,Business,1.3,100906.92,4,High,2.65,39.0,0.1,87.0,2005-03-08,Google TPU,67.24,294200642.61
1995-05-30,Gaming,Quadro P2200,APAC,3369.0,Cloud Providers,Business,3.0,171354.11,22,High,3.6,39.0,0.1,52.0,2011-02-23,Intel Xeon,50.72,319727656.87
1993-12-12,AI,Quadro P2200,APAC,323.0,Gamers,Business,3.9,106196.49,22,Low,1.26,18.0,0.27,68.0,2003-05-14,Intel Xeon,38.27,1818877171.97
2000-09-05,AI,Tesla T4,APAC,2044.0,Cloud Providers,Individual,1.1,40396.41,3,High,0.33,83.0,0.12,74.0,2008-03-10,AMD Radeon RX 7900,46.59,282889309.79
1996-06-10,Gaming,Tesla V100,North America,1588.0,Educational Institutions,Business,3.3,76653.18,20,Low,2.0,69.0,0.21,62.0,1999-07-06,AMD Radeon RX 6800,32.92,319852431.41
2020-05-03,Data Center,Quadro P2200,Europe,494.0,Gamers,Individual,1.2,28699.7,10,Medium,2.78,55.0,0.27,51.0,1994-01-25,Google TPU,37.24,4900304500.52
2021-02-24,AI,RTX 4090,South America,4104.0,Cloud Providers,Individual,4.5,133673.51,7,Medium,1.13,59.0,0.08,84.0,1993-04-20,Google TPU,62.29,54128824027.54
2024-03-15,Gaming,Tesla V100,APAC,3040.0,Gamers,Business,4.4,53221.27,16,Low,1.99,62.0,0.08,55.0,2024-04-24,Intel Xeon,65.88,1069446836869.33
1998-04-29,Gaming,Quadro P2200,South America,667.0,Gamers,Business,4.2,199527.94,21,Medium,2.4,46.0,0.13,67.0,2017-08-31,Google TPU,42.36,314174553.17
2000-01-17,AI,Tesla T4,South America,643.0,Cloud Providers,Individual,2.7,82363.03,4,High,1.41,38.0,0.24,77.0,2020-11-18,Intel Xeon,63.92,304206588.59
2009-05-01,AI,RTX 3080,South America,3155.0,Gamers,Individual,4.3,54493.94,22,Medium,3.89,15.0,0.25,50.0,2020-03-12,Intel Xeon,40.94,311565409.91
2022-01-18,AI,Tesla V100,South America,4611.0,AI Researchers,Business,3.4,107764.96,24,Medium,3.75,80.0,0.2,74.0,2018-05-15,Intel Xeon,64.91,175963511482.95
2018-06-17,Gaming,RTX 4090,Middle East,1291.0,AI Researchers,Business,4.8,15056.91,9,Low,4.51,26.0,0.14,90.0,2000-06-08,AMD Radeon RX 6800,57.48,1493339213.45
2011-08-14,OEM,Tesla T4,Africa,1979.0,Cloud Providers,Business,3.9,153585.7,0,Medium,1.99,16.0,0.21,82.0,2023-03-22,AMD Radeon RX 7900,49.59,305211477.17
2004-07-26,Gaming,Quadro P2200,North America,3688.0,AI Researchers,Business,2.0,49119.57,7,Low,3.89,18.0,0.13,64.0,2016-10-03,Google TPU,69.16,317372504.8
2016-03-30,AI,Tesla V100,Africa,4812.0,Gamers,Business,4.4,80203.44,21,Low,1.28,10.0,0.13,83.0,2004-05-28,Google TPU,36.79,304114460.07
2015-09-30,AI,Quadro P2200,South America,4523.0,Educational Institutions,Individual,1.3,116185.7,16,High,0.79,35.0,0.23,82.0,2013-07-28,AMD Radeon RX 7900,65.24,292357078.37
2019-02-12,OEM,RTX 4090,Africa,3629.0,AI Researchers,Business,2.3,96222.89,17,Low,0.66,66.0,0.16,67.0,2016-12-25,Google TPU,35.87,4550259698.55
1995-03-17,Data Center,Tesla V100,North America,3068.0,Cloud Providers,Business,2.9,161158.89,14,High,4.41,69.0,0.2,58.0,2018-04-27,AMD Radeon RX 7900,31.84,317629572.76
2007-10-08,Data Center,Tesla V100,Europe,1779.0,AI Researchers,Business,4.2,20857.92,19,Low,4.58,21.0,0.27,68.0,2021-12-09,Intel Xeon,59.37,317845477.8
2008-08-11,Gaming,RTX 3080,Africa,936.0,Cloud Providers,Individual,1.5,193110.78,14,Low,1.22,84.0,0.1,87.0,2005-10-22,AMD Radeon RX 7900,51.44,317597839.9
2017-10-02,OEM,Tesla V100,South America,2681.0,Gamers,Business,3.5,109518.34,23,Low,3.18,11.0,0.22,89.0,1994-04-06,Intel Xeon,40.19,294308318.41
1999-10-29,AI,Quadro P2200,North America,2600.0,Educational Institutions,Individual,2.9,186293.12,19,Low,0.22,11.0,0.28,86.0,2009-05-06,Google TPU,33.87,281690791.74
2017-02-28,AI,Quadro P2200,North America,4098.0,Educational Institutions,Business,1.9,60110.72,15,Low,4.85,78.0,0.3,67.0,1997-05-29,Google TPU,49.68,312156938.0
2004-10-07,OEM,Quadro P2200,APAC,3070.0,Cloud Providers,Individual,5.0,188098.52,18,High,1.3,67.0,0.16,74.0,2021-01-28,AMD Radeon RX 6800,59.84,298320563.66
2002-07-19,OEM,Tesla V100,Europe,3441.0,AI Researchers,Business,3.8,47050.38,13,Low,1.47,43.0,0.24,77.0,2009-03-11,Google TPU,52.93,318751463.64
2022-12-29,Data Center,RTX 3080,Middle East,109.0,AI Researchers,Business,4.2,168657.59,3,Low,0.25,30.0,0.22,74.0,2004-05-06,Intel Xeon,40.62,204165952776.46
2011-07-23,Data Center,RTX 4090,Africa,1715.0,Gamers,Individual,4.6,26192.4,23,Low,1.26,58.0,0.27,81.0,2021-12-17,Google TPU,47.83,297985694.91
2008-11-20,Data Center,RTX 3080,Africa,1087.0,Cloud Providers,Individual,2.8,27808.08,4,High,3.2,21.0,0.06,74.0,2004-10-07,Google TPU,69.49,282693160.59
2024-10-01,OEM,RTX 3080,Europe,1118.0,Gamers,Individual,1.8,60091.72,3,Low,3.65,26.0,0.09,65.0,2000-10-21,Intel Xeon,30.49,852077995613.21
2018-09-07,Gaming,Quadro P2200,Europe,1304.0,Educational Institutions,Individual,4.8,23485.63,1,High,4.99,78.0,0.21,62.0,2008-11-28,AMD Radeon RX 7900,32.51,1416771254.98
2012-10-24,Data Center,RTX 3080,APAC,1469.0,Educational Institutions,Business,4.7,180136.35,22,High,0.62,34.0,0.25,87.0,2002-05-17,Intel Xeon,38.15,282579794.85
1997-11-17,AI,Tesla T4,South America,3803.0,Gamers,Business,3.5,150910.8,2,Medium,4.12,57.0,0.27,57.0,2023-06-04,AMD Radeon RX 6800,37.62,294275564.58
2000-09-04,AI,RTX 3080,Middle East,101.0,Gamers,Business,1.3,153408.72,12,Medium,4.13,22.0,0.27,50.0,2004-04-04,AMD Radeon RX 6800,64.3,316013864.5
2004-11-07,AI,Tesla V100,South America,4468.0,Educational Institutions,Individual,4.4,149001.85,11,High,3.87,80.0,0.15,62.0,2023-10-27,AMD Radeon RX 7900,47.24,287440288.18
2020-04-17,AI,RTX 3080,North America,964.0,Cloud Providers,Individual,2.1,123826.87,18,Medium,1.73,72.0,0.06,62.0,2024-04-14,Intel Xeon,56.43,5816109779.63
2016-10-11,Gaming,Quadro P2200,Europe,4931.0,AI Researchers,Business,2.2,103431.06,22,Medium,0.19,75.0,0.09,81.0,2006-07-15,Intel Xeon,41.78,298935628.42
2007-04-10,Gaming,Tesla T4,North America,474.0,Educational Institutions,Individual,2.9,41742.91,2,Medium,4.12,62.0,0.23,63.0,2010-02-15,AMD Radeon RX 7900,49.48,300235838.69
2006-09-05,Data Center,Quadro P2200,South America,4327.0,AI Researchers,Business,3.3,96100.64,16,Medium,1.41,68.0,0.27,75.0,2024-09-07,Google TPU,59.63,294795848.4
2007-10-09,Gaming,Quadro P2200,Europe,1047.0,Educational Institutions,Business,3.1,140822.92,8,Medium,0.54,39.0,0.26,83.0,2013-12-16,AMD Radeon RX 7900,62.4,318453994.91
1996-04-29,Gaming,Tesla T4,South America,2308.0,Educational Institutions,Business,3.4,66921.14,19,Low,1.09,48.0,0.13,79.0,2010-08-11,Intel Xeon,50.67,311291017.29
2018-02-26,Data Center,Tesla T4,Middle East,3245.0,AI Researchers,Individual,4.8,177012.81,3,High,2.37,76.0,0.19,76.0,1999-10-18,AMD Radeon RX 6800,36.7,1363710699.04
2007-04-05,OEM,Tesla T4,Europe,484.0,Gamers,Individual,1.6,26469.09,4,Medium,4.39,44.0,0.06,81.0,2021-11-13,AMD Radeon RX 7900,52.41,282492714.77
1997-04-11,OEM,Tesla T4,Middle East,1678.0,Gamers,Individual,3.6,199205.8,14,Medium,4.05,13.0,0.12,62.0,2014-06-18,Intel Xeon,63.46,283606881.67
2013-10-22,AI,Quadro P2200,APAC,1056.0,AI Researchers,Individual,3.4,154355.34,4,Medium,2.64,32.0,0.16,70.0,2002-03-07,AMD Radeon RX 6800,51.55,289209888.12
2000-02-08,AI,RTX 4090,APAC,342.0,Gamers,Individual,4.0,35178.38,25,High,3.93,79.0,0.18,63.0,2000-12-21,Intel Xeon,59.36,298093079.33
2006-05-10,OEM,RTX 3080,Middle East,281.0,AI Researchers,Individual,4.8,24756.92,22,Low,0.23,24.0,0.19,71.0,1999-02-19,Google TPU,57.06,285647514.0
2022-01-23,OEM,Tesla T4,Middle East,4501.0,Cloud Providers,Business,1.9,46752.8,3,Low,0.31,29.0,0.12,81.0,1999-11-29,AMD Radeon RX 7900,54.66,279013242646.06
2001-06-26,AI,RTX 4090,Africa,2263.0,AI Researchers,Business,1.6,179115.01,25,High,0.53,64.0,0.29,59.0,1994-05-14,AMD Radeon RX 7900,33.1,307915057.58
2003-02-24,Gaming,RTX 3080,Middle East,4195.0,Educational Institutions,Business,2.1,49182.37,18,High,3.67,66.0,0.27,50.0,2003-09-10,Google TPU,38.35,289498918.87
2003-10-30,OEM,Quadro P2200,Africa,1128.0,Educational Institutions,Individual,2.1,76893.18,13,High,3.47,41.0,0.14,75.0,2010-05-24,AMD Radeon RX 7900,50.75,306260965.28
1997-02-02,OEM,Quadro P2200,Europe,924.0,Gamers,Individual,4.7,144028.44,1,Low,1.03,79.0,0.12,66.0,2020-02-13,Intel Xeon,41.68,315744559.96
2011-05-25,OEM,RTX 3080,Middle East,3810.0,Educational Institutions,Individual,2.7,158949.23,10,High,0.57,20.0,0.26,51.0,2000-07-07,Google TPU,66.89,293522633.28
2012-01-21,Gaming,Tesla V100,Africa,4092.0,AI Researchers,Individual,4.6,57581.88,20,Low,4.31,58.0,0.3,88.0,1999-10-16,AMD Radeon RX 6800,51.46,318446183.99
1995-06-16,OEM,Quadro P2200,South America,804.0,Gamers,Business,3.6,167687.88,2,Low,1.78,36.0,0.2,55.0,1996-08-28,Intel Xeon,67.1,304111059.87
2017-09-20,Gaming,Quadro P2200,South America,1746.0,Gamers,Business,4.5,128139.48,4,Medium,1.69,74.0,0.11,51.0,2023-12-17,Intel Xeon,36.43,287954438.27
1998-02-04,OEM,Tesla V100,North America,2584.0,AI Researchers,Business,4.9,15675.87,12,Medium,0.84,28.0,0.2,52.0,1995-09-28,Intel Xeon,41.64,302317396.41
2023-08-13,Data Center,Tesla V100,Europe,1578.0,AI Researchers,Individual,3.9,64577.02,1,Medium,2.72,90.0,0.06,51.0,2021-02-11,Google TPU,54.05,540465203876.96
2004-01-20,AI,RTX 4090,Europe,4864.0,Educational Institutions,Individual,3.4,125956.27,19,Medium,0.54,88.0,0.21,79.0,2012-11-05,Intel Xeon,48.81,304924470.73
2005-06-29,Data Center,RTX 3080,APAC,1769.0,Educational Institutions,Business,4.8,195203.05,20,High,1.85,86.0,0.29,67.0,2020-10-02,Google TPU,34.6,311589524.83
2003-04-12,Gaming,RTX 4090,APAC,611.0,AI Researchers,Business,4.9,93903.16,5,Low,4.17,28.0,0.1,73.0,2016-11-30,Intel Xeon,47.11,304873376.12
1999-09-07,OEM,RTX 3080,Africa,2700.0,AI Researchers,Business,4.7,183860.63,7,High,4.19,86.0,0.18,81.0,2003-10-27,AMD Radeon RX 7900,54.53,292166199.93
2019-10-03,AI,RTX 4090,APAC,845.0,AI Researchers,Business,2.4,72778.4,11,Medium,3.87,63.0,0.25,83.0,2018-08-23,Google TPU,40.05,6484920504.14
1998-06-11,Gaming,Quadro P2200,Africa,2732.0,AI Researchers,Business,3.8,189771.45,25,Medium,0.45,26.0,0.19,59.0,2007-07-26,AMD Radeon RX 7900,65.11,316846274.49
2014-01-01,Gaming,Quadro P2200,North America,2867.0,AI Researchers,Business,2.6,94840.48,5,Low,4.33,48.0,0.26,85.0,2011-09-23,Google TPU,67.19,300364443.34
2013-05-03,Gaming,Tesla V100,South America,3020.0,AI Researchers,Individual,3.6,128479.68,5,Medium,1.23,36.0,0.21,79.0,2015-02-03,Google TPU,67.75,291003763.73
1999-08-13,Gaming,Tesla T4,APAC,4389.0,Educational Institutions,Business,3.6,144711.62,16,Low,2.86,45.0,0.18,76.0,2010-11-08,AMD Radeon RX 7900,49.99,297366898.72
2011-03-30,OEM,Quadro P2200,Europe,534.0,Cloud Providers,Individual,1.7,50364.89,21,Low,4.57,46.0,0.09,57.0,1998-07-25,AMD Radeon RX 7900,51.29,290428344.72
2009-06-01,OEM,Tesla T4,North America,868.0,Educational Institutions,Individual,5.0,116894.93,4,Low,2.92,63.0,0.24,56.0,2016-02-17,AMD Radeon RX 7900,62.93,295869439.8
1997-07-11,AI,Tesla V100,APAC,1967.0,Cloud Providers,Business,3.2,20190.72,2,Low,3.04,46.0,0.11,51.0,2016-04-16,Intel Xeon,32.84,303852606.69
2020-04-10,Data Center,Quadro P2200,Europe,4681.0,Gamers,Business,3.3,64057.79,13,Low,2.87,58.0,0.09,58.0,2023-05-06,AMD Radeon RX 6800,60.22,7417955610.2
2015-04-20,Gaming,RTX 3080,APAC,3901.0,Educational Institutions,Individual,4.1,149775.1,6,Medium,4.48,86.0,0.29,58.0,2007-07-23,Intel Xeon,46.62,308727569.85
2001-06-05,OEM,Tesla T4,South America,4382.0,Gamers,Business,3.3,91194.84,2,Low,2.76,30.0,0.2,59.0,1996-12-26,Google TPU,50.92,284066751.14
1999-04-02,Gaming,RTX 3080,Europe,646.0,Educational Institutions,Individual,4.5,127459.9,10,Low,0.27,83.0,0.29,51.0,1994-07-19,Google TPU,33.55,302303764.78
2000-08-16,Gaming,Tesla V100,Europe,403.0,Educational Institutions,Individual,4.7,162295.41,21,Low,3.14,70.0,0.25,53.0,2014-02-28,AMD Radeon RX 6800,32.29,298261681.39
2014-12-04,AI,Quadro P2200,Africa,3810.0,Cloud Providers,Business,2.1,176665.26,25,Medium,3.43,32.0,0.18,71.0,1996-12-15,AMD Radeon RX 7900,32.41,281900370.84
2017-06-23,OEM,Tesla V100,APAC,1390.0,Educational Institutions,Business,2.8,137745.17,2,High,0.62,56.0,0.06,76.0,1998-06-15,AMD Radeon RX 7900,43.36,289312103.28
2019-07-23,Data Center,Tesla V100,Middle East,2931.0,Cloud Providers,Individual,3.1,21331.43,2,High,4.21,26.0,0.23,66.0,2010-12-19,Intel Xeon,53.88,4783136748.55
2016-06-23,Data Center,Quadro P2200,Africa,1881.0,AI Researchers,Individual,4.2,130287.52,0,High,4.61,78.0,0.09,90.0,2012-11-21,AMD Radeon RX 6800,58.21,282941203.19
1994-05-05,Gaming,Quadro P2200,Middle East,2440.0,Educational Institutions,Business,4.5,101310.4,5,High,2.11,79.0,0.24,56.0,2002-10-30,Intel Xeon,61.72,1309234944.93
2016-07-29,Data Center,Quadro P2200,North America,624.0,Educational Institutions,Business,4.5,84802.8,4,High,4.04,25.0,0.09,71.0,2019-12-28,AMD Radeon RX 6800,66.99,281068048.27
2002-08-24,Data Center,Quadro P2200,North America,1085.0,Cloud Providers,Business,2.3,159393.5,25,High,0.19,32.0,0.14,83.0,2002-05-12,AMD Radeon RX 6800,54.12,313574381.64
2007-11-07,OEM,Quadro P2200,Europe,2815.0,AI Researchers,Business,4.8,195054.43,15,Medium,3.64,19.0,0.19,54.0,2009-05-14,AMD Radeon RX 6800,62.45,302069902.0
2009-11-16,OEM,Tesla V100,Europe,536.0,Educational Institutions,Individual,2.8,91180.29,19,Medium,2.65,27.0,0.28,87.0,1997-12-06,AMD Radeon RX 7900,69.99,301375207.89
2007-02-26,Gaming,RTX 3080,Europe,2156.0,Educational Institutions,Individual,2.0,58824.94,13,Low,0.99,10.0,0.06,89.0,2021-09-15,Google TPU,53.32,319830677.25
1996-09-01,Data Center,Quadro P2200,APAC,2506.0,Gamers,Individual,1.5,99643.91,16,Low,3.42,46.0,0.29,65.0,2011-07-21,Google TPU,34.85,299429327.44
2018-10-06,Data Center,Tesla T4,Africa,2256.0,AI Researchers,Individual,4.0,138871.62,21,Medium,4.24,83.0,0.13,56.0,2020-06-18,Google TPU,61.84,1516280231.67
2024-01-07,AI,Tesla T4,APAC,1517.0,Cloud Providers,Business,3.9,151821.22,14,Medium,0.31,12.0,0.18,79.0,2008-12-22,Intel Xeon,31.84,858032482644.84
2019-02-23,AI,Tesla T4,Middle East,2661.0,AI Researchers,Individual,2.4,87248.81,25,Low,0.9,34.0,0.16,81.0,2017-06-22,AMD Radeon RX 7900,61.92,3076322285.23
1999-01-08,Data Center,Quadro P2200,South America,741.0,Gamers,Business,4.8,37378.44,6,Medium,2.45,76.0,0.08,60.0,2023-04-24,Google TPU,51.12,282860400.96
2008-08-01,AI,Tesla T4,South America,993.0,Cloud Providers,Individual,3.6,187231.75,5,Low,1.35,41.0,0.16,85.0,2009-01-08,AMD Radeon RX 6800,68.46,311949305.34
1996-08-31,AI,RTX 4090,Africa,2810.0,Gamers,Business,1.4,42835.25,0,High,1.73,73.0,0.28,63.0,1998-07-07,Google TPU,52.21,318402090.73
1998-08-14,Gaming,RTX 3080,Africa,643.0,Educational Institutions,Individual,3.5,13656.49,24,Medium,0.82,75.0,0.23,88.0,2001-08-09,Intel Xeon,66.24,282927093.33
2019-11-15,AI,RTX 4090,APAC,790.0,Gamers,Individual,2.1,140289.88,14,Low,1.7,85.0,0.27,76.0,2022-06-29,Intel Xeon,51.55,7874782192.15
1997-08-22,AI,Tesla V100,North America,3457.0,Educational Institutions,Individual,2.1,113041.15,25,High,1.27,76.0,0.25,68.0,2003-03-02,Intel Xeon,58.44,290864862.34
1993-06-29,OEM,RTX 4090,Europe,1295.0,Cloud Providers,Business,1.2,122731.27,10,Low,3.86,27.0,0.27,84.0,2019-12-19,Intel Xeon,46.25,1494596057.18
2010-10-28,OEM,Tesla V100,Europe,1666.0,Cloud Providers,Business,3.8,22002.56,11,Medium,0.22,79.0,0.24,81.0,2007-11-24,Google TPU,30.61,298219269.77
2000-06-01,OEM,RTX 4090,Middle East,4697.0,AI Researchers,Individual,3.4,140918.13,19,High,4.63,68.0,0.2,73.0,2018-02-19,AMD Radeon RX 7900,34.27,311308537.68
2021-03-24,AI,Quadro P2200,Europe,4967.0,Gamers,Business,2.6,195758.51,22,Medium,1.14,16.0,0.13,80.0,2004-11-18,Google TPU,61.84,59579154847.62
2011-12-05,AI,Tesla V100,Middle East,2769.0,Cloud Providers,Individual,4.2,158238.98,6,Medium,3.53,87.0,0.14,73.0,2008-06-15,AMD Radeon RX 6800,30.26,312852597.51
2003-03-25,Gaming,RTX 3080,South America,3022.0,Educational Institutions,Business,2.1,175160.04,16,High,1.1,59.0,0.26,53.0,2004-07-29,Google TPU,57.34,309003582.43
2011-02-14,Data Center,Quadro P2200,Europe,4527.0,Cloud Providers,Business,2.1,117081.74,25,Low,4.27,82.0,0.16,61.0,2021-10-21,Google TPU,49.71,305662817.25
2016-07-30,AI,RTX 4090,Middle East,260.0,Educational Institutions,Individual,1.0,149867.52,11,High,4.81,43.0,0.16,73.0,2017-08-10,Google TPU,50.82,302209417.4
2023-09-11,AI,Tesla T4,Middle East,3954.0,Cloud Providers,Individual,1.4,16830.84,16,Low,4.41,18.0,0.26,88.0,2004-04-15,Google TPU,62.36,584272618268.77
2004-12-12,Data Center,Tesla V100,Europe,583.0,Cloud Providers,Business,4.0,176814.42,3,Low,4.24,67.0,0.29,58.0,2011-07-12,AMD Radeon RX 6800,63.42,303735861.9
1995-11-15,Gaming,Tesla T4,Europe,1683.0,Educational Institutions,Business,4.3,150756.7,19,Low,0.21,22.0,0.26,54.0,2009-12-02,AMD Radeon RX 6800,31.03,307281076.61
2002-09-13,AI,Quadro P2200,North America,2135.0,AI Researchers,Business,4.0,148466.97,13,Medium,4.89,86.0,0.29,87.0,2012-08-08,AMD Radeon RX 6800,35.16,302287936.08
2003-09-07,Gaming,Tesla T4,APAC,286.0,Gamers,Business,3.6,61028.31,8,High,1.15,12.0,0.16,52.0,2008-10-04,AMD Radeon RX 7900,46.29,311276161.1
2022-03-29,OEM,Tesla T4,Africa,1013.0,Educational Institutions,Business,1.8,87970.98,22,Low,3.37,14.0,0.16,61.0,2023-02-07,AMD Radeon RX 6800,53.63,217111312393.23
2001-11-12,Data Center,RTX 4090,Europe,1620.0,Cloud Providers,Individual,4.1,35697.74,17,Medium,2.3,67.0,0.08,54.0,2002-08-06,Google TPU,48.31,287397668.29
2005-12-03,Data Center,Quadro P2200,South America,2224.0,AI Researchers,Individual,3.3,189158.94,2,High,2.31,22.0,0.13,52.0,1995-04-08,AMD Radeon RX 6800,61.23,310704329.89
2008-04-10,AI,Tesla T4,South America,1474.0,AI Researchers,Business,1.6,194979.05,25,Low,1.56,65.0,0.28,50.0,1997-01-26,AMD Radeon RX 6800,49.37,314436762.8
2016-04-24,Data Center,Tesla T4,APAC,521.0,Gamers,Business,4.4,63932.19,9,Low,2.74,14.0,0.12,86.0,2001-04-17,Intel Xeon,36.37,292169905.28
1994-01-24,Data Center,Quadro P2200,Europe,1518.0,Gamers,Individual,3.5,73720.9,0,High,2.65,16.0,0.25,55.0,2021-12-15,Intel Xeon,53.72,1880046701.68
2013-08-14,AI,RTX 4090,South America,3940.0,Educational Institutions,Individual,2.0,124863.86,11,High,4.03,88.0,0.07,69.0,2000-08-20,Google TPU,30.31,290082555.35
